titulo,start_hour,end_hour,location,reference_date
Deputado Delegado Francischini (PSL/PR),17h10,17h25,Palácio do Planalto,2019-01-16
Deputado Eleito Major Vitor Hugo (PSL/GO),17h30,18h00,Palácio do Planalto,2019-01-16
Deputada Eleita Bia Kicis (PRP/DF),11h00,11h30,Palácio do Planalto,2019-01-17
"Coronel Rodrigo Nery, Oficial da Reserva, e Hernando Barbosa, Subtenente da Reserva do BOPE/RJ",11h30,12h00,Palácio do Planalto,2019-01-17
"Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",12h00,13h20,Palácio do Planalto,2019-01-17
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da 	República, e André Luiz de Almeida, Advogado-Geral da União",14h00,14h30,Palácio do Planalto,2019-01-17
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República",14h40,15h00,Palácio do Planalto,2019-01-17
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da 	República; Mauro Biancamano Guimarães, Secretário-Executivo da 	Secretaria de Governo da Presidência da República; Evaristo Eduardo 	de Miranda, Chefe Geral de Pesquisa e Desenvolvimento da Embrapa; e 	Luciola Alves Magalhães, Chefe Adjunta de Pesquisa e 	Desenvolvimento da Embrapa",15h00,15h30,Palácio do Planalto,2019-01-17
"Ernesto Araújo, Ministro de Estado das Relações Exteriores, Otávio 	Brandelli, Secretário-Geral do Ministério das Relações Exteriores e 	Miguel Ángel Martín, Presidente do Supremo Tribunal de Justiça da Venezuela",15h30,16h10,Palácio do Planalto,2019-01-17
"Daniel Feffer, Vice Presidente do Conselho de Administração da Suzano 	Papel e Celulose",17h10,17h25,Palácio do Planalto,2019-01-17
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República, e Sergio Moro, Ministro de Estado da Justiça e Segurança Pública",09h00,10h30,Palácio do Planalto,2019-01-18
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República",10h30,10h45,Palácio do Planalto,2019-01-18
"Hamilton Mourão, Vice-Presidente da República",10h50,11h05,Palácio do Planalto,2019-01-18
"Clifford Sobel, Ex-embaixador dos Estados Unidos no Brasil",11h10,11h40,Palácio do Planalto,2019-01-18
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Márcio Novaes, Presidente da Associação Brasileira de Rádio e Televisão; Marcos Vinicius, CEO da Rede Record; Luiz Cláudio Costa, Presidente da RecordTV; e Antônio Guerreiro, Vice-Presidente de Jornalismo da Record",11h45,12h20,Palácio do Planalto,2019-01-18
"Senhores Antonio Celso Ribeiro Brasiliano, Luiz Otávio Henrique e José Leandro Arantes Jaber",12h20,12h50,Palácio do Planalto,2019-01-18
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República, e Deputado Eleito Major Vitor Hugo (PSL/GO)",13h00,14h00,Palácio do Planalto,2019-01-18
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República, e Senador Davi Alcolumbre (DEM/AP)",14h30,15h00,Palácio do Planalto,2019-01-18
"Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura, e Marcelo Sampaio Cunha Filho, Secretário-Executivo do Ministério da Infraestrutura",15h00,15h30,Palácio do Planalto,2019-01-18
Deputado Eduardo Bolsonaro (PSL/SP) e Executivos Rubens Menin e Douglas Tavolaro,16h00,16h45,Palácio do Planalto,2019-01-18
"Gustavo Bebianno, Ministro-Chefe da Secretaria Geral da Presidência da República",17h15,17h40,Palácio do Planalto,2019-01-18
Ato de Assinatura da Medida Provisória Antifraude,17h40,18h00,Palácio do Planalto,2019-01-18
"Ernesto Araújo, Ministro de Estado das Relações Exteriores, e Deputado Eduardo Bolsonaro (PSL/SP)",18h10,18h40,Palácio do Planalto,2019-01-18
Sem compromisso oficial,00h00,,,2019-01-19
"Ernesto Araújo, Ministro de Estado das Relações Exteriores",09h30,10h30,Palácio da Alvorada,2019-01-20
Partida de Brasília para Las Palmas,22h00,,Base Aérea de Brasília,2019-01-20
Chegada a Las Palmas,07h20,08h50,Aeroporto de Gran Canária,2019-01-21
Partida de Las Palmas para Zurique,08h50,14h30,Aeroporto de Gran Canária,2019-01-21
Chegada a Zurique,14h30,,Aeroporto de Zurique,2019-01-21
Discurso do senhor Presidente da República na Sessão Plenária do Fórum Econômico Mundial 2019,15h30,16h00,Davos/Suíça,2019-01-22
Reunião do Conselho Internacional de Negócios,17h15,18h15,Davos/Suíça,2019-01-22
"Jantar oferecido pelo professor Klaus Schwab, fundador do Fórum Econômico Mundial",20h00,22h00,Davos/Suíça,2019-01-22
Almoço de trabalho,13h00,14h05,Davos/Suíça,2019-01-23
"Reunião Bilateral com o Primeiro-Ministro da Itália, Giuseppe Conte",14h05,14h30,Davos/Suíça,2019-01-23
"Reunião Bilateral com o Presidente da Suiça, Ueli Maurer",14h30,15h00,Davos/Suíça,2019-01-23
"Reunião Bilateral com o Primeiro-Ministro do Japão, Shinzo Abe",17h00,17h25,Davos/Suíça,2019-01-23
Diálogo Diplomático,18h00,19h00,Davos/Suíça,2019-01-23
Jantar com Chefes de Estado de países latino-americanos,20h00,22h00,Davos/Suíça,2019-01-23
"Reunião Bilateral com o Primeiro-Ministro dos Países Baixos, Mark Rutte",08h45,09h30,Davos/Suíça,2019-01-24
"Reunião Bilateral com o Primeiro-Ministro da República Tcheca, Andrej Babis",09h30,10h30,Davos/Suíça,2019-01-24
"Reunião Bilateral com o Presidente da Polônia, Andrzej Duda",10h30,10h55,Davos/Suíça,2019-01-24
"Reunião Bilateral com o Presidente da Ucrânia, Petro Poroshenko",11h20,12h00,Davos/Suíça,2019-01-24
Almoço de trabalho,12h00,13h35,Davos/Suíça,2019-01-24
"Reunião Bilateral com o Presidente da África do Sul, Cyril Ramaphosa",14h30,,Davos/Suíça,2019-01-24
"Reunião Bilateral com o Presidente da Colômbia, Iván Duque",14h30,,Davos/Suíça,2019-01-24
Partida de Zurique com destino a Las Palmas,18h10,,Aeroporto de Zurique,2019-01-24
Chegada a Las Palmas,21h20,22h50,Aeroporto de Gran Canária,2019-01-24
Partida de Las Palmas para Brasília,22h50,,Aeroporto de Gran Canária,2019-01-24
Chegada a Brasília,04h30,04h35,Base Aérea de Brasília,2019-01-25
"Hamilton Mourão, Vice-Presidente da República; Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",10h00,11h30,Palácio do Planalto,2019-01-25
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da 	República, e Fernando Azevedo, Ministro de Estado da Defesa",14h00,14h30,Palácio do Planalto,2019-01-25
"Santos 	Cruz, Ministro-Chefe da Secretaria de Governo da Presidência 	da República; Presidência da República, e Deputado Eleito Major 	Vitor Hugo (PSL/GO)",15h30,16h00,Palácio do Planalto,2019-01-25
"Senador Fernando Collor (PTC/AL), Líder do PTC no Senado",16h30,17h00,Palácio do Planalto,2019-01-25
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República e Marcos Rocha, Governador de Rondônia",17h45,18h00,Palácio do Planalto,2019-01-25
"André Luiz de Almeida, Advogado-Geral da União",20h30,21h00,Palácio da Alvorada,2019-01-25
Partida de Brasília para Confins,08h30,,Base Aérea de Brasília,2019-01-26
Chegada a Confins,09h30,,Aeroporto Internacional Tancredo Neves,2019-01-26
Sobrevoo da região atingida pelo rompimento da Barragem “Mina Córrego do Feijão”,09h45,10h25,Brumadinho/MG,2019-01-26
Encontro de Trabalho,10h35,11h20,Belo Horizonte/MG,2019-01-26
Partida de Confins para Brasília,12h25,,Aeroporto Internacional Tancredo Neves,2019-01-26
Chegada a Brasília,13h25,,Base Aérea de Brasília,2019-01-26
Sem compromisso oficial,00h00,,,2019-01-27
Sem compromisso oficial,00h00,,,2019-01-28
Sem compromisso oficial,00h00,,,2019-01-29
Sem compromisso oficial,00h00,,,2019-01-30
Despacho interno,13h30,14h30,São Paulo/SP,2019-01-31
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",11h00,11h15,São Paulo/SP,2019-02-01
Sem compromisso oficial,00h00,,,2019-02-02
Sem compromisso oficial,00h00,,,2019-02-03
Sem compromisso oficial,00h00,,,2019-02-04
Sem compromisso oficial,00h00,,,2019-02-05
